about_me_id,about_me
0,"From
Pakistan
Member since
Mar 2025
Avg. response time
6 hours
Last delivery
2 days
Languages
English, Arabic, French
I am a results-driven software developer specializing in Python automation, backend systems, CI/CD, SaaS platforms, CRM integrations, APIs, and custom business software. I build scalable solutions that automate workflows, connect systems, and solve real business problems. My work includes automation, integrations, dashboards, internal tools, and custom applications, with a focus on clean architecture, reliable performance, and practical implementation."
1,"From
Israel
Member since
May 2020
Avg. response time
5 hours
Last delivery
3 days
Languages
English, Hebrew
Senior Platform Engineer & DevOps expert with 4+ years in enterprise infrastructure. I bring strict security standards and precision to every project. My track record includes technical collaborations with major brands like Samsung, LG, and Verifone.  Core Services:  DevOps: Kubernetes, Docker, OpenShift, AWS, Azure, CI/CD.  Automation: Advanced Python scripting, Bash, Linux Admin.  Development: High-performance React/Python web apps.  Additional Value: I also offer premium, 100% manual English/Hebrew translation services as a native speaker.  Don't settle for average - Contact me!"
2,"From
Pakistan
Member since
Jan 2019
Avg. response time
1 hour
Last delivery
5 months
Languages
Urdu, English
With over 5 years of professional experience and a track record of 80+ completed projects on Fiverr, I'm a seasoned Full-Stack Mobile and Web developer specializing in technologies like React Native, React JS, Next JS, Node JS, AWS, MongoDB, Firebase, and Python. What sets me apart is not just my expertise but also the support of my team of professional developers and designers. Together, we've tackled a wide range of projects across industries, including E-commerce, Social Media, Logistics, Restaurants, Food Delivery, News Portals, Blogging, ERP Solutions, Google Maps Integration, and more"
3,"From
Ukraine
Member since
Feb 2025
Avg. response time
3 hours
Last delivery
3 weeks
Languages
English, Russian, Ukrainian, Belarusian
I’m a Python developer specializing in writing parsers, scrapers, and Telegram bots. I handle data extraction from websites of varying complexity, including JavaScript-heavy sites, APIs, login-required pages, proxies, and captchas. I use tools like requests, BeautifulSoup, Playwright, and Selenium. I deliver data in CSV, Excel, JSON, or databases. I ensure automation, clear monitoring, and clean code. Ready to build your project efficiently and on time."
4,"From
United Kingdom
Member since
Apr 2021
Avg. response time
2 hours
Last delivery
about 9 hours
Languages
English, Ukrainian, Slovak
1. 5+ years of hands-on Python development  2. Built RESTful APIs with FastAPI and Django REST Framework  3. Managed relational databases  4. Developed responsive front-ends using VueJS and Vuetify  5. Automated workflows with Celery, Redis and Docker  6. Delivered desktop apps (Tkinter) and hardware interfacing  7. Created custom solutions - from web platforms and automation tools to data pipelines and desktop utilities  8. Flexible, communicative and deadline-driven - ready to power your next project!"
5,"From
Pakistan
Member since
Oct 2020
Avg. response time
1 hour
Last delivery
1 day
Languages
English, Urdu
Hi! My name is Farhan, I am a Pakistani Full-time freelancer well experienced in C, C++, C#, and Python Programming.  Problem-solving and Algorithm building are the keys to writing any successful code and I have that skillset in the most refined form Hire me and get quality work done in a short time."
6,"From
China
Member since
Apr 2025
Avg. response time
2 hours
Last delivery
2 months
Languages
English, Chinese, Thai
Hi, I'm Faye, a Python automation and web development specialist helping businesses save time with reliable custom tools.  I build Python scripts, web scrapers, API integrations, browser automation workflows, and JavaScript web solutions. I can also fix or improve existing scripts, websites, dashboards, and backend systems.  My focus is clean code, clear communication, practical delivery, and source code that is easy to run and maintain."
7,"From
Pakistan
Member since
Nov 2017
Avg. response time
1 hour
Last delivery
1 day
Languages
Urdu, English, French, German
7+ years, 900+ deployments. I personally build and ship production-grade web, backend, and automation systems. You work directly with the engineer for defensively written, maintainable architecture.  Expertise: • Backends: PHP/Laravel, Python, MySQL, REST APIs • WordPress: Hardening, performance & scaling • AI/Automation: Chatbots, SaaS tooling, APIs • Cloud: AWS setup, migration & security  Workflow: Scoped requirements → architecture → regression-tested delivery. Send the problem; I'll return a secure, production-ready solution."
8,"From
India
Member since
Dec 2023
Avg. response time
1 hour
Last delivery
2 weeks
Languages
English, Hindi, Spanish, Marathi
I am a Full Stack Developer and Found at Delpat.  I help founders and businesses build custom reliable systems that scale their business. With a dedicated team behind me, I handle complex projects faster than solo freelancers.  My Core Expertise: - SaaS & MVPs: Custom Web Apps (Python, Django, React, Next.js). - Automation: Advanced n8n, Make.com & API Integration workflows. - AI Solutions: Custom Voice Agents, Chatbots & LLM integration. - Internal Tools: Dashboards & Admin Panels to manage operations.  Let's build a system that works. Message me to discuss your project"
9,"From
Pakistan
Member since
Dec 2019
Avg. response time
1 hour
Last delivery
about 7 hours
Languages
English, Urdu
Hi! My name is Tahir Siddique. I'm working as a full stack developer and as a freelancer on fiverr since 2019. My aim is to provide qualitative products and assure the quality as much as possible."
