gig_title_id,gig_title
0,I will develop python applications or scripts for your needs
1,I will develop advanced python automation scripts and devops tools
2,I will develop python applications or scripts for your needs
3,I will develop python scripts for automation and web scraping
4,"I will develop python automation scripts, web and desktop apps"
5,"I will write python automation scripts, web scrapers and API integrations"
6,I will build python automation and web scraping scripts
7,"I will do python automation, web scraping and api integration"
8,"I will do python automation, web scraping and API integration"
9,"I will create web scrapper, crawler and bots to automate your tasks"
10,I will develop automation scripts and custom python applications
11,"I will build a python web scraper, automation bot, and custom script"
12,I will write a python script to automate anything
13,"I will create google apps scripts for automation in gmail, sheets, drive, and calendar"
14,I will do excel processing in python
15,"I will teach sql, excel, google sheets and python"
16,I will do excel automation using python
17,"I will professionally scrape website, excel, PDF with python"
18,I will automate your messy excel data and file tasks with python
19,I will provide professional web scraping services using python
20,"I will clean, analyze, and visualize data using excel, python, sql"
21,"I will automate your excel, csv, xml, json data tasks using python"
22,"I will automate your office tools, python vba excel expert"
23,"I will clean, format and automate excel data using python"
24,"I will design and optimize your database, sql queries, and erds"
25,I will do data analytics visualization power bi big query sql looker dashboard ai ml
26,"I will install, configure software, connect sql database"
27,"I will teach sql server, write queries and help your with projects"
28,I will develop your etl solution for microsoft sql server
29,"I will help you with mysql, sql server, mariadb, postgresql tasks and queries"
30,"I will help you in sql database projects, sql quries and database design"
31,
32,
33,
34,
35,
36,
37,
38,
39,
40,
41,
42,
43,
44,
45,
46,
47,
48,
49,
50,
51,
52,
53,
54,
55,
56,
57,
58,
59,
60,
61,
62,
63,
64,
65,
66,
67,
68,
69,
70,
71,
72,
73,
74,
75,
76,
77,
78,
79,
80,
